location,date,population,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,new_tests,people_fully_vaccinated_per_hundred
Argentina,2021-01-01,45605823,4080,89.462,74,1.623,9852,0
Argentina,2021-01-02,45605823,5240,114.898,56,1.228,29920,0
Argentina,2021-01-03,45605823,5884,129.019,107,2.346,25558,0
Argentina,2021-01-04,45605823,8222,180.284,152,3.333,50014,0
Argentina,2021-01-05,45605823,13790,302.374,151,3.311,54021,0
Argentina,2021-01-06,45605823,13441,294.721,191,4.188,55813,0
Argentina,2021-01-07,45605823,13835,303.36,146,3.201,53768,0
Argentina,2021-01-08,45605823,13346,292.638,151,3.311,54017,0
Argentina,2021-01-09,45605823,11057,242.447,144,3.157,43671,0
Argentina,2021-01-10,45605823,7808,171.206,78,1.71,26196,0
Argentina,2021-01-11,45605823,8704,190.853,159,3.486,50924,0
Argentina,2021-01-12,45605823,13783,302.22,194,4.254,52362,0
Argentina,2021-01-13,45605823,12725,279.021,135,2.96,54460,0
Argentina,2021-01-14,45605823,13286,291.322,142,3.114,51613,0
Argentina,2021-01-15,45605823,12332,270.404,102,2.237,56113,0
Argentina,2021-01-16,45605823,8932,195.852,68,1.491,45373,0
Argentina,2021-01-17,45605823,7264,159.278,112,2.456,30719,0
Argentina,2021-01-18,45605823,8185,179.473,425,9.319,54530,0
Argentina,2021-01-19,45605823,12141,266.216,234,5.131,57217,0
Argentina,2021-01-20,45605823,12112,265.58,150,3.289,52546,0.01
Argentina,2021-01-21,45605823,11396,249.88,139,3.048,49903,0.04
Argentina,2021-01-22,45605823,10753,235.781,220,4.824,49296,0.06
Argentina,2021-01-23,45605823,8362,183.354,162,3.552,34842,0.06
Argentina,2021-01-24,45605823,5031,110.315,90,1.973,24029,0.07
Argentina,2021-01-25,45605823,7578,166.163,207,4.539,48107,0.07
Argentina,2021-01-26,45605823,10409,228.238,219,4.802,48696,0.09
Argentina,2021-01-27,45605823,10843,237.755,182,3.991,51033,0.1
Argentina,2021-01-28,45605823,9471,207.671,166,3.64,48659,0.11
Argentina,2021-01-29,45605823,9838,215.718,174,3.815,48741,0.14
Argentina,2021-01-30,45605823,6902,151.34,156,3.421,42428,0.19
Argentina,2021-01-31,45605823,4975,109.087,43,0.943,36717,0
Argentina,2021-02-01,45605823,6614,145.025,275,6.03,54196,0.21
Argentina,2021-02-02,45605823,9695,212.583,177,3.881,58875,0
Argentina,2021-02-03,45605823,9196,201.641,113,2.478,54605,0.25
Argentina,2021-02-04,45605823,8891,194.953,161,3.53,48053,0.32
Argentina,2021-02-05,45605823,8374,183.617,285,6.249,47030,0
Argentina,2021-02-06,45605823,6680,146.473,125,2.741,34415,0.36
Argentina,2021-02-07,45605823,3658,80.209,61,1.338,25150,0.4
Argentina,2021-02-08,45605823,5154,113.012,227,4.977,50105,0.41
Argentina,2021-02-09,45605823,7794,170.899,168,3.684,52264,0.42
Argentina,2021-02-10,45605823,7739,169.693,108,2.368,51037,0.43
Argentina,2021-02-11,45605823,7311,160.308,200,4.385,52708,0.46
Argentina,2021-02-12,45605823,7151,156.8,155,3.399,51600,0.49
Argentina,2021-02-13,45605823,6057,132.812,159,3.486,40007,0.51
Argentina,2021-02-14,45605823,4245,93.08,48,1.052,26015,0.52
Argentina,2021-02-15,45605823,3259,71.46,91,1.995,35348,0.52
Argentina,2021-02-16,45605823,4003,87.774,105,2.302,37852,0.52
Argentina,2021-02-17,45605823,6064,132.965,184,4.035,56268,0.52
Argentina,2021-02-18,45605823,7671,168.202,241,5.284,53859,0.53
Argentina,2021-02-19,45605823,7886,172.917,143,3.136,56394,0.56
Argentina,2021-02-20,45605823,5944,130.334,122,2.675,38996,0.57
Argentina,2021-02-21,45605823,3709,81.327,76,1.666,26437,0.58
Argentina,2021-02-22,45605823,5417,118.779,161,3.53,50538,0.58
Argentina,2021-02-23,45605823,7477,163.948,151,3.311,48470,0.58
Argentina,2021-02-24,45605823,8183,179.429,140,3.07,50320,0.59
Argentina,2021-02-25,45605823,8234,180.547,145,3.179,43630,0.59
Argentina,2021-02-26,45605823,5083,111.455,92,2.017,47017,0.62
Argentina,2021-02-27,45605823,5469,119.919,59,1.294,35210,0.64
Argentina,2021-02-28,45605823,3168,69.465,19,0.417,27992,0.64
Argentina,2021-03-01,45605823,4658,102.136,112,2.456,44674,0.64
Argentina,2021-03-02,45605823,6653,145.88,115,2.522,46174,0.66
Argentina,2021-03-03,45605823,7855,172.237,261,5.723,46195,0.67
Argentina,2021-03-04,45605823,7432,162.962,191,4.188,43841,0.68
Argentina,2021-03-05,45605823,7891,173.026,140,3.07,44822,0.72
Argentina,2021-03-06,45605823,4860,106.565,86,1.886,31485,0
Argentina,2021-03-07,45605823,2922,64.071,10,0.219,21079,0.75
Argentina,2021-03-08,45605823,5058,110.907,241,5.284,43166,0.75
Argentina,2021-03-09,45605823,7307,160.221,131,2.872,46784,0.76
Argentina,2021-03-10,45605823,7693,168.685,107,2.346,47823,0.77
Argentina,2021-03-11,45605823,8204,179.889,134,2.938,44591,0.78
Argentina,2021-03-12,45605823,7849,172.105,85,1.864,50936,0.83
Argentina,2021-03-13,45605823,6278,137.658,68,1.491,35863,0.92
Argentina,2021-03-14,45605823,3697,81.064,24,0.526,23687,0.98
Argentina,2021-03-15,45605823,6164,135.158,166,3.64,48438,0.99
Argentina,2021-03-16,45605823,8235,180.569,200,4.385,53135,1.05
Argentina,2021-03-17,45605823,8304,182.082,195,4.276,50214,1.09
Argentina,2021-03-18,45605823,8328,182.608,155,3.399,54434,1.13
Argentina,2021-03-19,45605823,8160,178.925,90,1.973,50721,1.22
Argentina,2021-03-20,45605823,6826,149.674,41,0.899,34971,1.3
Argentina,2021-03-21,45605823,4032,88.41,28,0.614,22337,1.33
Argentina,2021-03-22,45605823,6401,140.355,126,2.763,54348,1.33
Argentina,2021-03-23,45605823,9405,206.224,152,3.333,54814,1.36
Argentina,2021-03-24,45605823,8300,181.994,123,2.697,34936,1.39
Argentina,2021-03-25,45605823,8238,180.635,146,3.201,58333,1.39
Argentina,2021-03-26,45605823,12936,283.648,143,3.136,65943,1.43
Argentina,2021-03-27,45605823,10338,226.682,133,2.916,45608,1.45
Argentina,2021-03-28,45605823,7208,158.05,81,1.776,33658,1.46
Argentina,2021-03-29,45605823,14014,307.285,162,3.552,62943,1.46
Argentina,2021-03-30,45605823,10154,222.647,125,2.741,72292,1.47
Argentina,2021-03-31,45605823,16056,352.06,122,2.675,69292,1.49
Argentina,2021-04-01,45605823,14430,316.407,83,1.82,60749,1.49
Argentina,2021-04-02,45605823,9902,217.121,82,1.798,43365,1.5
Argentina,2021-04-03,45605823,10384,227.69,83,1.82,49337,1.5
Argentina,2021-04-04,45605823,9955,218.284,93,2.039,40100,1.5
Argentina,2021-04-05,45605823,13667,299.677,272,5.964,83478,1.5
Argentina,2021-04-06,45605823,20870,457.617,163,3.574,91036,1.52
Argentina,2021-04-07,45605823,22039,483.25,198,4.342,98273,1.54
Argentina,2021-04-08,45605823,23683,519.298,290,6.359,100152,1.55
Argentina,2021-04-09,45605823,24130,529.099,228,4.999,97313,1.56
Argentina,2021-04-10,45605823,19419,425.801,297,6.512,75993,1.58
Argentina,2021-04-11,45605823,15262,334.65,132,2.894,53716,1.59
Argentina,2021-04-12,45605823,19437,426.196,178,3.903,90259,1.6
Argentina,2021-04-13,45605823,27001,592.052,217,4.758,97720,1.61
Argentina,2021-04-14,45605823,25157,551.618,368,8.069,85811,1.66
Argentina,2021-04-15,45605823,24999,548.154,383,8.398,104329,1.69
Argentina,2021-04-16,45605823,29472,646.233,159,3.486,104191,1.73
Argentina,2021-04-17,45605823,19119,419.223,80,1.754,74489,1.74
Argentina,2021-04-18,45605823,16267,356.687,64,1.403,53122,1.75
Argentina,2021-04-19,45605823,20461,448.649,248,5.438,96133,1.75
Argentina,2021-04-20,45605823,29145,639.063,316,6.929,103077,1.78
Argentina,2021-04-21,45605823,25932,568.612,291,6.381,96179,1.82
Argentina,2021-04-22,45605823,27216,596.766,537,11.775,90893,1.85
Argentina,2021-04-23,45605823,27884,611.413,556,12.191,99680,1.87
Argentina,2021-04-24,45605823,21220,465.291,298,6.534,58310,1.9
Argentina,2021-04-25,45605823,15012,329.168,170,3.728,44289,1.91
Argentina,2021-04-26,45605823,18793,412.075,443,9.714,85395,1.91
Argentina,2021-04-27,45605823,25495,559.029,512,11.227,95305,1.93
Argentina,2021-04-28,45605823,23718,520.065,348,7.631,86717,1.94
Argentina,2021-04-29,45605823,26053,571.265,561,12.301,97433,1.99
Argentina,2021-04-30,45605823,22420,491.604,357,7.828,81704,2.06
Argentina,2021-05-01,45605823,16502,361.84,231,5.065,53206,2.12
Argentina,2021-05-02,45605823,11394,249.837,156,3.421,46601,2.13
Argentina,2021-05-03,45605823,15920,349.078,540,11.841,91844,2.17
Argentina,2021-05-04,45605823,26238,575.321,410,8.99,94233,2.3
Argentina,2021-05-05,45605823,24079,527.981,663,14.538,97637,2.48
Argentina,2021-05-06,45605823,24086,528.134,398,8.727,86306,2.61
Argentina,2021-05-07,45605823,22552,494.498,609,13.354,93134,2.77
Argentina,2021-05-08,45605823,18024,395.213,170,3.728,60336,2.94
Argentina,2021-05-09,45605823,11582,253.959,283,6.205,47181,3.06
Argentina,2021-05-10,45605823,17381,381.114,496,10.876,81786,3.08
Argentina,2021-05-11,45605823,25976,569.576,490,10.744,97114,3.17
Argentina,2021-05-12,45605823,24475,536.664,496,10.876,80021,3.33
Argentina,2021-05-13,45605823,26531,581.746,447,9.801,91545,3.57
Argentina,2021-05-14,45605823,27363,599.989,599,13.134,95616,3.84
Argentina,2021-05-15,45605823,21469,470.751,400,8.771,79430,4.1
Argentina,2021-05-16,45605823,16350,358.507,269,5.898,48854,4.18
Argentina,2021-05-17,45605823,28680,628.867,505,11.073,114719,4.28
Argentina,2021-05-18,45605823,35543,779.352,744,16.314,125179,4.5
Argentina,2021-05-19,45605823,39652,869.45,494,10.832,104308,4.61
Argentina,2021-05-20,45605823,35884,786.829,434,9.516,115285,4.72
Argentina,2021-05-21,45605823,35468,777.708,692,15.174,133439,4.88
Argentina,2021-05-22,45605823,32171,705.414,297,6.512,94759,5.09
Argentina,2021-05-23,45605823,24801,543.812,375,8.223,48424,5.19
Argentina,2021-05-24,45605823,22651,496.669,417,9.144,84831,5.29
Argentina,2021-05-25,45605823,24601,539.427,576,12.63,80988,5.34
Argentina,2021-05-26,45605823,35399,776.195,532,11.665,114950,5.38
Argentina,2021-05-27,45605823,41080,900.762,547,11.994,119648,5.52
Argentina,2021-05-28,45605823,39207,859.693,558,12.235,122774,5.68
Argentina,2021-05-29,45605823,29841,654.324,415,9.1,83505,5.92
Argentina,2021-05-30,45605823,21346,468.054,348,7.631,52533,6.05
Argentina,2021-05-31,45605823,28175,617.794,637,13.968,107239,6.1
Argentina,2021-06-01,45605823,35355,775.23,640,14.033,111555,6.21
Argentina,2021-06-02,45605823,35017,767.819,587,12.871,110447,6.31
Argentina,2021-06-03,45605823,32291,708.046,553,12.126,115469,6.4
Argentina,2021-06-04,45605823,30950,678.641,538,11.797,110118,6.48
Argentina,2021-06-05,45605823,23627,518.07,456,9.999,80130,6.57
Argentina,2021-06-06,45605823,16415,359.932,347,7.609,48004,6.62
Argentina,2021-06-07,45605823,22195,486.67,732,16.051,107572,6.68
Argentina,2021-06-08,45605823,31137,682.742,721,15.809,107476,6.77
Argentina,2021-06-09,45605823,29757,652.482,605,13.266,101232,6.85
Argentina,2021-06-10,45605823,27628,605.8,669,14.669,101906,6.91
Argentina,2021-06-11,45605823,26934,590.582,687,15.064,102201,6.96
Argentina,2021-06-12,45605823,18057,395.936,447,9.801,67564,7.07
Argentina,2021-06-13,45605823,13043,285.994,268,5.876,43203,7.23
Argentina,2021-06-14,45605823,21292,466.87,686,15.042,105493,7.32
Argentina,2021-06-15,45605823,27260,597.731,586,12.849,103113,7.5
Argentina,2021-06-16,45605823,25878,567.428,646,14.165,94948,7.65
Argentina,2021-06-17,45605823,23780,521.425,528,11.577,91733,7.81
Argentina,2021-06-18,45605823,20363,446.5,458,10.043,90335,7.95
Argentina,2021-06-19,45605823,15631,342.741,495,10.854,67177,8.04
Argentina,2021-06-20,45605823,10395,227.931,301,6.6,32030,8.09
Argentina,2021-06-21,45605823,8606,188.704,447,9.801,55657,8.1
Argentina,2021-06-22,45605823,21387,468.953,791,17.344,95871,8.16
Argentina,2021-06-23,45605823,27319,599.024,705,15.459,94868,8.24
Argentina,2021-06-24,45605823,24463,536.401,452,9.911,92852,8.32
Argentina,2021-06-25,45605823,24023,526.753,541,11.863,102331,8.4
Argentina,2021-06-26,45605823,18555,406.856,338,7.411,65867,8.51
Argentina,2021-06-27,45605823,12105,265.427,251,5.504,37866,8.59
Argentina,2021-06-28,45605823,18389,403.216,574,12.586,83215,8.68
Argentina,2021-06-29,45605823,24065,527.674,526,11.534,88005,8.76
Argentina,2021-06-30,45605823,22673,497.151,636,13.946,91376,8.86
Argentina,2021-07-01,45605823,21177,464.349,468,10.262,88470,8.96
Argentina,2021-07-02,45605823,20888,458.012,610,13.375,96605,9.22
Argentina,2021-07-03,45605823,14034,307.724,212,4.649,62001,9.43
Argentina,2021-07-04,45605823,9000,197.343,310,6.797,39977,9.61
Argentina,2021-07-05,45605823,17277,378.833,617,13.529,92612,9.72
Argentina,2021-07-06,45605823,21590,473.404,462,10.13,107229,10.01
Argentina,2021-07-07,45605823,19423,425.889,456,9.999,101606,10.39
Argentina,2021-07-08,45605823,19256,422.227,465,10.196,110087,10.64
Argentina,2021-07-09,45605823,14518,318.337,244,5.35,64495,10.71
Argentina,2021-07-10,45605823,11561,253.498,353,7.74,67255,10.99
Argentina,2021-07-11,45605823,8850,194.054,280,6.14,41105,11.01
Argentina,2021-07-12,45605823,14989,328.664,474,10.393,101323,11.05
Argentina,2021-07-13,45605823,20023,439.045,385,8.442,104341,11.13
Argentina,2021-07-14,45605823,19697,431.897,610,13.375,102234,11.21
Argentina,2021-07-15,45605823,17295,379.228,445,9.758,102414,11.29
Argentina,2021-07-16,45605823,17261,378.482,463,10.152,99676,11.39
Argentina,2021-07-17,45605823,12230,268.168,276,6.052,67232,11.6
Argentina,2021-07-18,45605823,6935,152.064,115,2.522,43361,11.75
Argentina,2021-07-19,45605823,12764,279.877,406,8.902,94095,11.84
Argentina,2021-07-20,45605823,15077,330.594,426,9.341,88984,12.02
Argentina,2021-07-21,45605823,14632,320.836,437,9.582,94276,12.48
Argentina,2021-07-22,45605823,13500,296.015,256,5.613,99067,12.71
Argentina,2021-07-23,45605823,15622,342.544,285,6.249,94782,12.86
Argentina,2021-07-24,45605823,11136,244.179,225,4.934,69925,13.04
Argentina,2021-07-25,45605823,7506,164.584,137,3.004,51279,13.17
Argentina,2021-07-26,45605823,12555,275.294,384,8.42,107223,13.21
Argentina,2021-07-27,45605823,16757,367.431,247,5.416,94106,13.45
Argentina,2021-07-28,45605823,15883,348.267,470,10.306,95355,13.93
Argentina,2021-07-29,45605823,14115,309.5,291,6.381,89125,14.32
Argentina,2021-07-30,45605823,13483,295.642,473,10.371,103785,14.73
Argentina,2021-07-31,45605823,10356,227.076,135,2.96,71127,15.16
Argentina,2021-08-01,45605823,6083,133.382,51,1.118,44819,15.47
Argentina,2021-08-02,45605823,11183,245.21,273,5.986,107106,15.69
Argentina,2021-08-03,45605823,14850,325.616,402,8.815,108982,16.13
Argentina,2021-08-04,45605823,13736,301.19,300,6.578,105575,16.86
Argentina,2021-08-05,45605823,13786,302.286,276,6.052,106738,17.39
Argentina,2021-08-06,45605823,13549,297.089,190,4.166,113890,17.94
Argentina,2021-08-07,45605823,9803,214.951,89,1.952,66745,18.42
Argentina,2021-08-08,45605823,6141,134.654,157,3.443,46147,18.74
Argentina,2021-08-09,45605823,10180,223.217,502,11.007,97664,19.13
Argentina,2021-08-10,45605823,12412,272.158,204,4.473,94289,19.63
Argentina,2021-08-11,45605823,11397,249.902,223,4.89,103672,0
Argentina,2021-08-12,45605823,13369,293.142,181,3.969,100164,20.5
Argentina,2021-08-13,45605823,8472,185.766,246,5.394,100705,20.95
Argentina,2021-08-14,45605823,6183,135.575,121,2.653,72307,21.54
Argentina,2021-08-15,45605823,3727,81.722,105,2.302,40910,22
Argentina,2021-08-16,45605823,3636,79.727,64,1.403,53878,22.29
Argentina,2021-08-17,45605823,8172,179.188,300,6.578,102026,22.49
Argentina,2021-08-18,45605823,9764,214.095,247,5.416,99787,22.91
Argentina,2021-08-19,45605823,10596,232.339,189,4.144,101086,23.65
Argentina,2021-08-20,45605823,8160,178.925,229,5.021,102597,24.45
Argentina,2021-08-21,45605823,5889,129.128,147,3.223,66925,25.17
Argentina,2021-08-22,45605823,2979,65.321,135,2.96,45448,25.71
Argentina,2021-08-23,45605823,6135,134.522,257,5.635,104301,26.14
Argentina,2021-08-24,45605823,8119,178.026,197,4.32,101383,26.76
Argentina,2021-08-25,45605823,6994,153.358,160,3.508,98778,27.49
Argentina,2021-08-26,45605823,6847,150.134,151,3.311,98026,28.32
Argentina,2021-08-27,45605823,5807,127.33,153,3.355,101218,29.1
Argentina,2021-08-28,45605823,3725,81.678,54,1.184,61637,29.87
Argentina,2021-08-29,45605823,2073,45.455,59,1.294,39890,30.42
Argentina,2021-08-30,45605823,5358,117.485,224,4.912,90999,30.99
Argentina,2021-08-31,45605823,6731,147.591,205,4.495,102170,31.55
Argentina,2021-09-01,45605823,5328,116.827,193,4.232,89052,32.42
Argentina,2021-09-02,45605823,4653,102.026,190,4.166,82845,33.16
Argentina,2021-09-03,45605823,4318,94.681,161,3.53,80387,34.01
Argentina,2021-09-04,45605823,2486,54.511,88,1.93,47679,34.64
Argentina,2021-09-05,45605823,1397,30.632,67,1.469,34272,35.29
Argentina,2021-09-06,45605823,3893,85.362,162,3.552,86318,35.79
Argentina,2021-09-07,45605823,4106,90.032,178,3.903,75922,36.72
Argentina,2021-09-08,45605823,3531,77.424,111,2.434,61123,37.36
Argentina,2021-09-09,45605823,3661,80.275,137,3.004,58888,38.08
Argentina,2021-09-10,45605823,2816,61.747,183,4.013,63821,38.77
Argentina,2021-09-11,45605823,1795,39.359,74,1.623,44651,39.49
Argentina,2021-09-12,45605823,930,20.392,46,1.009,25007,39.88
Argentina,2021-09-13,45605823,2297,50.366,238,5.219,63875,40.07
Argentina,2021-09-14,45605823,3017,66.154,176,3.859,61811,40.53
Argentina,2021-09-15,45605823,2510,55.037,153,3.355,56548,41.09
Argentina,2021-09-16,45605823,2493,54.664,132,2.894,57384,41.82
Argentina,2021-09-17,45605823,2308,50.608,185,4.056,60307,42.54
Argentina,2021-09-18,45605823,1451,31.816,81,1.776,39307,43.03
Argentina,2021-09-19,45605823,622,13.639,61,1.338,27878,43.51
Argentina,2021-09-20,45605823,2162,47.406,90,1.973,61205,43.88
Argentina,2021-09-21,45605823,1837,40.28,61,1.338,53448,44.46
Argentina,2021-09-22,45605823,2034,44.6,105,2.302,56866,45.18
Argentina,2021-09-23,45605823,1733,38,88,1.93,54450,45.7
Argentina,2021-09-24,45605823,1849,40.543,56,1.228,50588,46.05
Argentina,2021-09-25,45605823,993,21.774,21,0.46,35256,46.52
Argentina,2021-09-26,45605823,562,12.323,13,0.285,25024,46.79
Argentina,2021-09-27,45605823,1538,33.724,92,2.017,55700,47.03
Argentina,2021-09-28,45605823,1825,40.017,84,1.842,55678,47.44
Argentina,2021-09-29,45605823,1496,32.803,92,2.017,51257,47.97
Argentina,2021-09-30,45605823,1641,35.982,49,1.074,50697,48.43
Argentina,2021-10-01,45605823,1564,34.294,46,1.009,50670,48.98
Argentina,2021-10-02,45605823,886,19.427,14,0.307,31322,49.53
Argentina,2021-10-03,45605823,386,8.464,6,0.132,20976,49.9
Argentina,2021-10-04,45605823,981,21.51,38,0.833,50306,50.18
Argentina,2021-10-05,45605823,1216,26.663,40,0.877,50790,50.49
Argentina,2021-10-06,45605823,1284,28.154,56,1.228,50480,50.85
Argentina,2021-10-07,45605823,1086,23.813,37,0.811,45056,51.27
Argentina,2021-10-08,45605823,753,16.511,28,0.614,26409,51.67
Argentina,2021-10-09,45605823,470,10.306,14,0.307,26423,51.91
Argentina,2021-10-10,45605823,331,7.258,15,0.329,21934,52.22
Argentina,2021-10-11,45605823,416,9.122,18,0.395,26794,52.47
Argentina,2021-10-12,45605823,1064,23.33,56,1.228,53783,0
Argentina,2021-10-13,45605823,1314,28.812,35,0.767,51629,52.7
Argentina,2021-10-14,45605823,1350,29.601,51,1.118,47019,52.99
Argentina,2021-10-15,45605823,1358,29.777,27,0.592,45272,53.3
Argentina,2021-10-16,45605823,790,17.322,3,0.066,32277,53.75
Argentina,2021-10-17,45605823,400,8.771,3,0.066,21080,0
Argentina,2021-10-18,45605823,912,19.997,38,0.833,53440,0
Argentina,2021-10-19,45605823,1303,28.571,33,0.724,49150,54.29
Argentina,2021-10-20,45605823,1218,26.707,33,0.724,50255,54.59
Argentina,2021-10-21,45605823,1541,33.79,26,0.57,49072,54.73
Argentina,2021-10-22,45605823,1385,30.369,23,0.504,49330,55.04
Argentina,2021-10-23,45605823,908,19.91,4,0.088,30223,55.32
Argentina,2021-10-24,45605823,540,11.841,3,0.066,21997,55.5
Argentina,2021-10-25,45605823,1227,26.904,25,0.548,51945,55.56
Argentina,2021-10-26,45605823,1415,31.027,15,0.329,52134,55.8
Argentina,2021-10-27,45605823,1485,32.562,23,0.504,47221,56.08
Argentina,2021-10-28,45605823,1589,34.842,27,0.592,45441,56.3
Argentina,2021-10-29,45605823,1373,30.106,19,0.417,45694,56.63
Argentina,2021-10-30,45605823,812,17.805,7,0.153,29850,56.77
Argentina,2021-10-31,45605823,548,12.016,8,0.175,19340,56.91
Argentina,2021-11-01,45605823,1138,24.953,39,0.855,44347,56.98
Argentina,2021-11-02,45605823,1340,29.382,21,0.46,43847,57.1
Argentina,2021-11-03,45605823,1264,27.716,19,0.417,46589,57.16
Argentina,2021-11-04,45605823,1440,31.575,26,0.57,44285,57.81
Argentina,2021-11-05,45605823,1271,27.869,28,0.614,42829,0
Argentina,2021-11-06,45605823,928,20.348,8,0.175,27178,58.06
Argentina,2021-11-07,45605823,593,13.003,13,0.285,19448,58.41
Argentina,2021-11-08,45605823,1288,28.242,39,0.855,42266,58.59
Argentina,2021-11-09,45605823,1349,29.58,22,0.482,43656,58.73
Argentina,2021-11-10,45605823,1567,34.36,19,0.417,43366,58.93
Argentina,2021-11-11,45605823,1460,32.013,25,0.548,42541,59.16
Argentina,2021-11-12,45605823,1614,35.39,13,0.285,43633,59.4
Argentina,2021-11-13,45605823,1092,23.944,6,0.132,29132,59.65
Argentina,2021-11-14,45605823,591,12.959,4,0.088,16546,59.95
Argentina,2021-11-15,45605823,1417,31.071,18,0.395,45257,60.26
Argentina,2021-11-16,45605823,1622,35.566,44,0.965,42507,0
Argentina,2021-11-17,45605823,1553,34.053,19,0.417,44991,61.08
Argentina,2021-11-18,45605823,1755,38.482,28,0.614,43797,0
Argentina,2021-11-19,45605823,1518,33.285,19,0.417,41013,61.99
Argentina,2021-11-20,45605823,1095,24.01,14,0.307,25872,62.23
Argentina,2021-11-21,45605823,646,14.165,3,0.066,15670,62.36
Argentina,2021-11-22,45605823,641,14.055,5,0.11,21754,62.5
Argentina,2021-11-23,45605823,1644,36.048,33,0.724,42550,62.81
Argentina,2021-11-24,45605823,2234,48.985,43,0.943,40040,0
Argentina,2021-11-25,45605823,2260,49.555,22,0.482,41022,63.57
Argentina,2021-11-26,45605823,1912,41.924,25,0.548,40753,0
Argentina,2021-11-27,45605823,1521,33.351,12,0.263,29451,64.11
Argentina,2021-11-28,45605823,888,19.471,12,0.263,18686,64.29
Argentina,2021-11-29,45605823,1968,43.152,25,0.548,42848,64.71
Argentina,2021-11-30,45605823,2332,51.134,35,0.767,41792,65.15
Argentina,2021-12-01,45605823,1881,41.245,8,0.175,43391,65.46
Argentina,2021-12-02,45605823,2681,58.786,20,0.439,44252,65.79
Argentina,2021-12-03,45605823,2382,52.23,22,0.482,38077,66.09
Argentina,2021-12-04,45605823,1690,37.057,4,0.088,30579,66.25
Argentina,2021-12-05,45605823,1294,28.374,3,0.066,21566,66.36
Argentina,2021-12-06,45605823,2477,54.313,34,0.746,46980,0
Argentina,2021-12-07,45605823,3089,67.733,23,0.504,46024,66.65
Argentina,2021-12-08,45605823,1881,41.245,5,0.11,26431,67.18
Argentina,2021-12-09,45605823,2744,60.168,11,0.241,48700,0
Argentina,2021-12-10,45605823,3573,78.345,29,0.636,49190,67.69
Argentina,2021-12-11,45605823,2445,53.612,12,0.263,32565,67.85
Argentina,2021-12-12,45605823,1570,34.425,11,0.241,22400,67.94
Argentina,2021-12-13,45605823,0,0,0,0,51196,68.18
Argentina,2021-12-14,45605823,8067,176.885,55,1.206,54709,68.48
Argentina,2021-12-15,45605823,4819,105.666,31,0.68,56465,68.76
Argentina,2021-12-16,45605823,5301,116.235,17,0.373,59409,68.98
Argentina,2021-12-17,45605823,5648,123.844,18,0.395,59399,69.19
Argentina,2021-12-18,45605823,4163,91.282,7,0.153,40670,69.32
Argentina,2021-12-19,45605823,3254,71.351,4,0.088,27643,69.4
Argentina,2021-12-20,45605823,5337,117.025,27,0.592,63556,69.61
Argentina,2021-12-21,45605823,9336,204.711,23,0.504,66387,0
Argentina,2021-12-22,45605823,11121,243.85,11,0.241,79054,69.88
Argentina,2021-12-23,45605823,13456,295.05,15,0.329,83675,70.15
Argentina,2021-12-24,45605823,16279,356.95,29,0.636,50795,70.45
Argentina,2021-12-25,45605823,7183,157.502,12,0.263,13935,0
Argentina,2021-12-26,45605823,7623,167.15,15,0.329,9944,70.45
Argentina,2021-12-27,45605823,20263,444.307,31,0.68,52478,70.5
Argentina,2021-12-28,45605823,33902,743.37,19,0.417,50895.42857142857,71.07
Argentina,2021-12-29,45605823,42032,921.637,26,0.57,48682.34693877551,0
Argentina,2021-12-30,45605823,50506,1107.446,35,0.767,44343.53935860058,71.57
Bolivia,2021-01-01,11832936,861,72.763,10,0.845,1906,0
Bolivia,2021-01-02,11832936,1070,90.426,11,0.93,2604,0
Bolivia,2021-01-03,11832936,606,51.213,15,1.268,1520,0
Bolivia,2021-01-04,11832936,1010,85.355,18,1.521,2560,0
Bolivia,2021-01-05,11832936,1597,134.962,22,1.859,4090,0
Bolivia,2021-01-06,11832936,1713,144.765,46,3.887,3982,0
Bolivia,2021-01-07,11832936,1910,161.414,17,1.437,4453,0
Bolivia,2021-01-08,11832936,2263,191.246,24,2.028,5227,0
Bolivia,2021-01-09,11832936,1644,138.934,23,1.944,3863,0
Bolivia,2021-01-10,11832936,1098,92.792,25,2.113,2580,0
Bolivia,2021-01-11,11832936,1392,117.638,39,3.296,3273,0
Bolivia,2021-01-12,11832936,1473,124.483,39,3.296,3565,0
Bolivia,2021-01-13,11832936,2057,173.837,39,3.296,5112,0
Bolivia,2021-01-14,11832936,2198,185.753,37,3.127,5197,0
Bolivia,2021-01-15,11832936,2573,217.444,41,3.465,6157,0
Bolivia,2021-01-16,11832936,2091,176.71,25,2.113,5049,0
Bolivia,2021-01-17,11832936,1503,127.018,40,3.38,3427,0
Bolivia,2021-01-18,11832936,1550,130.99,44,3.718,3218,0
Bolivia,2021-01-19,11832936,2357,199.19,42,3.549,6133,0
Bolivia,2021-01-20,11832936,2655,224.374,42,3.549,5170,0
Bolivia,2021-01-21,11832936,2648,223.782,54,4.564,6715,0
Bolivia,2021-01-22,11832936,1864,157.526,53,4.479,5131,0
Bolivia,2021-01-23,11832936,1732,146.371,56,4.733,4574,0
Bolivia,2021-01-24,11832936,1048,88.566,58,4.902,2975,0
Bolivia,2021-01-25,11832936,1781,150.512,66,5.578,5014,0
Bolivia,2021-01-26,11832936,2390,201.979,54,4.564,7577,0
